Pérdidas,CP UNIDADES,Costo M$,Dda. SING,Gen. SING,ANDES SOLAR,ANG1,ANG2,CAVA,CCR1 (Carbón),CHAP,CTA,CTH,CTM1 (Carbón),CTM2 (Carbón),EÓLICA VALLE DE LOS VIENTOS,LA HUAYCA II,MARIA ELENA FV,MHAH,MHT2,NTO1 (Carbón),NTO2 (Carbón),PAM,PARQUE SOLAR FINIS TERRAE,PAS2,PAS3,SOLAR JAMA 1,SOLAR JAMA 2,TG3 (Diesel),TGTAR,U12 (Carbón),U13 (Carbón),U14 (Carbón),U15 (Carbón),U16-TG + U16-TV,UG1 (HFO),UG2 (HFO),UG3 (HFO),UG4 (HFO),UG5 (HFO),UG6 (HFO),RES_GIRO_UTIL,RES_PRONTA,RES_DETENIDA_CP,RES.PRIMARIA,GEN. EN PRUEBAS,GENERACION AES GENER,GENERACION ANGAMOS,GENERACION CELTA,GENERACION ENGIE,GENERACION ENORCHILE,GENERACION EQUIPOS DE GENERACION,GENERACION GASATACAMA,GENERACION HORNITOS,TG3 (Gas Natural),AGB,CTM3-TG + CTM3-TV,GMAR,INACAL,MIMB (Diesel + Fuel Oil),TG2,ZOFRI_13,ZOFRI_2-5,ZOFRI_6,ZOFRI_7-12,M1AR,M2AR,SUIQ,TG1B + 0.5 TV1C (Diesel),TG2A + 0.5 TV2C (Diesel),TG2A + TG2B + TV2C (Diesel),TG2B + 0.5 TV2C (Diesel),TG1,CTTAR (Carbón),ZOFRI_1,CCR2 (Carbón),KELAR TG1 (Gas Natural),PARQUE SOLAR PAMPA CAMARONES,TG1A + 0.5 TV1C (Diesel),KELAR TG2 (Gas Natural)
51,217,52.09,2079.4,2347.4,0,267.5,271.6,1.8,247,5,164.6,165.1,144,154,2.5,0,0,1,1,135.3,131.9,17,0,0,0,0,0,10,0,50,50,122,0,228.5,6.7,6.7,6.7,6.7,8.9,8.9,133,889.5,596.2,136.2,0,267.2,539.1,0,763.5,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,217,50.84,2039.1,2305.1,0,267.5,271.6,1.8,247,1,164.6,165.1,144,154,2.8,0,0,1,1,135.3,131.9,17,0,0,0,0,0,10,0,50,50,122,0,198.8,6.7,6.7,6.7,6.7,0,8.9,133,859.8,596.2,136.2,0,267.2,539.1,0,729.8,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,225,51.73,2009,2281,0,267.5,271.6,1.8,247,1,164.6,165.1,144,154,5.1,0,0,1,1,135.3,131.9,17,0,0,0,0,0,10,0,50,50,122,7,165.4,6.7,6.7,6.7,6.7,0,8.9,133,826.4,596.2,136.2,0,267.2,539.1,0,703.4,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,225,50.47,2028.5,2301.5,0,267.5,271.6,1.8,247,1,164.6,165.1,144,154,8.4,0,0,1,1,135.3,131.9,17,0,0,0,0,0,10,0,50,50,122,25,164.6,6.7,6.7,6.7,6.7,0,8.9,133,825.6,596.2,136.2,0,267.2,539.1,0,720.6,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,225,50.23,2023,2295,0,267.5,271.6,1.8,247,1,164.6,165.1,144,154,10.7,0,0,1,1,135.3,131.9,17,0,0,0,0,0,10,0,50,50,122,25,155.8,6.7,6.7,6.7,6.7,0,8.9,133,816.8,596.2,136.2,0,267.2,539.1,0,711.8,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,225,49.76,2004.4,2275.4,0,267.5,271.6,1.8,247,1,164.6,165.1,144,154,11.1,0,0,1,1,135.3,131.9,17,0,0,0,0,0,10,0,50,50,122,25,133.6,6.7,0,6.7,6.7,8.9,8.9,133,794.6,596.2,136.2,0,267.2,539.1,0,689.6,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,225,50.94,2047.7,2321.7,0,267.5,271.6,1.8,247,1,164.6,165.1,144,154,10.8,0,0,1,1,135.3,131.9,17,0,0,0,0,0,10,0,50,50,122,25,182.4,6.7,6.7,6.7,6.7,0,8.9,133,843.4,596.2,136.2,0,267.2,539.1,0,738.4,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,226,49.36,2044.9,2320.9,0.3,267.5,271.6,1.8,247,1,164.6,165.1,90,141,10.7,0,0.6,1,1,135.3,131.9,17,0.4,0,0,0.6,0.4,10,0,50,50,122,25,170.5,6.7,6.7,6.7,6.7,8.9,8.9,200,831.5,596.2,136.2,0,267.5,539.1,0,659.5,1.6,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,225,45,1985.4,2258.4,7.9,267.5,271.6,1.8,150,5.6,164.6,165.1,90,141,10.9,3.8,20.8,1,1,135.3,131.9,17,31.9,2.4,4.7,12.2,8.8,10,0,50,50,122,25,125.6,6.7,0,6.7,6.7,0,8.9,200,645.3,596.2,136.2,0,275.1,539.1,0,619.2,48.8,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,224,41.44,2013,2286,15.4,267.5,271.6,1.8,150,5.6,164.6,165.1,90,93.4,10.5,12.2,43.9,1,1,135.3,131.9,17,80.5,6,12.6,21.9,15.8,0,0,50,50,122,25,124,0,0,0,0,0,0,229.6,596.1,624.2,126.2,0,282.6,539.1,0,560.5,100.2,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
